File Size (KB),Write Time (s)
127.765625,0.4101102596250712
125.150390625,0.3729748371242749
127.0302734375,0.37124242175013933
122.1953125,0.37883549024991225
124.349609375,0.3628752183740289
120.1337890625,0.34705960412611603
128.1484375,0.2875033924992749
122.39453125,0.3823933730000135
122.1748046875,0.39308973725019314
134.5908203125,0.39494901675061556
138.90625,0.39421317137384904
136.693359375,0.3993003538744233
133.666015625,0.4405056523755775
130.490234375,0.3896234613748675
133.384765625,0.39859395749954274
135.61328125,0.4056676866257476
139.3486328125,0.398664649874263
132.517578125,0.37463155187469965
133.498046875,0.42935485650014016
137.64453125,0.437452123625917
137.2880859375,0.40455979412581655
133.125,0.3983434504989418
134.2998046875,0.41320843974972377
132.3251953125,0.4097293697504938
135.6875,0.32986557162439567
46.8740234375,0.1068574306264054
41.38671875,0.1202160102493508
43.07421875,0.140631180624041
44.787109375,0.13263656087474374
45.7626953125,0.0995664919992123
44.302734375,0.10753784950065892
49.9296875,0.1946260263739532
43.9951171875,0.14500387037514884
46.3916015625,0.13815327950032952
46.4384765625,0.14717314200061082
47.8388671875,0.15151186549883278
40.923828125,0.07017841700144345
41.623046875,0.13696768774934753
45.6259765625,0.15037884712364757
49.8876953125,0.15378975675048423
43.068359375,0.1383049248743191
73.3544921875,0.208888040500824
72.849609375,0.22947847687464673
73.0595703125,0.20594329937557632
75.5,0.17590697337618622
77.5859375,0.2422727767498145
77.78515625,0.21803748825004732
77.0751953125,0.24738740662542114
75.7724609375,0.20584217225041357
72.21875,0.1920513362492784
78.0283203125,0.22095824812458886
